Date,hmm_regime,gbm_regime,tsfm_regime,momo_regime,fold,momo_side,hmm_side,gbm_side,tsfm_side,votes_up,tier,flip_move,gold_side,leg_id,run_len,gold_side_fwd10,gold_side_fwd20,gold_side_fwd60,flips_within_lag,momo_hit,n_side_agree
2015-10-14,2,0,0,4,0,-1,1,1,1,3,mixed,0.0005365795313578836,1,13,1,1.0,-1.0,-1.0,0.0,0.0,1
2015-10-15,2,1,1,1,0,1,1,1,1,5,mixed,0.016631602197441753,1,13,1,1.0,-1.0,-1.0,0.0,1.0,4
2015-10-16,3,1,1,1,0,1,-1,1,1,5,mixed,0.0343161038239963,1,13,2,1.0,-1.0,-1.0,0.0,1.0,3
2015-10-19,3,1,1,1,0,1,-1,1,1,5,mixed,0.022919261119454193,1,13,3,1.0,-1.0,-1.0,0.0,1.0,3
2015-10-20,3,1,1,2,0,1,-1,1,1,5,mixed,0.025039750979618525,1,13,4,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-21,3,1,1,2,0,1,-1,1,1,5,mixed,0.011446593768146385,1,13,5,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-22,3,1,1,2,0,1,-1,1,1,6,lean,0.0263749023802633,1,13,6,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-23,3,1,1,2,0,1,-1,1,1,7,strong,0.03745552450035072,1,13,7,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-26,3,1,1,2,0,1,-1,1,1,7,strong,0.03554060799513448,1,13,8,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-27,3,1,1,2,0,1,-1,1,1,7,strong,0.0301080669378041,1,13,9,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-28,3,1,1,2,0,1,-1,1,1,7,strong,0.0451275946791333,1,13,10,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-29,3,1,1,2,0,1,-1,1,1,7,strong,0.03137371661826227,1,13,11,-1.0,-1.0,-1.0,1.0,1.0,3
2015-10-30,3,1,1,2,0,1,-1,1,1,7,strong,0.02319798480474977,1,13,12,-1.0,-1.0,-1.0,1.0,1.0,3
2015-11-02,3,1,1,2,0,1,-1,1,1,8,unanimous,0.033454534357508336,1,13,13,-1.0,-1.0,-1.0,1.0,1.0,3
2015-11-03,3,1,1,2,0,1,-1,1,1,8,unanimous,0.03745397317657406,-1,14,14,-1.0,-1.0,-1.0,0.0,0.0,3
2015-11-04,3,1,1,2,0,1,-1,1,1,8,unanimous,0.039656432621202775,-1,14,15,-1.0,-1.0,-1.0,0.0,0.0,3
2015-11-05,3,1,1,2,0,1,-1,1,1,8,unanimous,0.030200060353247404,-1,14,16,-1.0,-1.0,-1.0,0.0,0.0,3
2015-11-06,3,1,1,2,0,1,-1,1,1,8,unanimous,0.029865274045563606,-1,14,17,-1.0,-1.0,-1.0,0.0,0.0,3
2015-11-09,3,1,3,2,0,1,-1,1,-1,7,strong,0.02034847532391304,-1,14,18,-1.0,-1.0,-1.0,0.0,0.0,2
2015-11-10,3,1,1,2,0,1,-1,1,1,7,strong,0.02197850839210802,-1,14,19,-1.0,-1.0,-1.0,0.0,0.0,3
2015-11-11,3,1,1,2,0,1,-1,1,1,6,lean,0.01901136625098876,-1,14,20,-1.0,-1.0,-1.0,0.0,0.0,3
2015-11-12,3,1,3,2,0,1,-1,1,-1,4,mixed,0.00533513445162237,-1,14,21,-1.0,-1.0,-1.0,0.0,0.0,2
2015-11-13,0,2,0,5,0,-1,1,1,1,2,lean,0.005626177048242198,-1,14,1,-1.0,-1.0,1.0,0.0,1.0,1
2015-11-16,0,1,0,2,0,1,1,1,1,5,mixed,0.009530841634111775,-1,14,1,-1.0,-1.0,1.0,0.0,0.0,4
2015-11-17,0,2,0,0,0,1,1,1,1,5,mixed,0.009593025124895793,-1,14,2,-1.0,-1.0,1.0,0.0,0.0,4
2015-11-18,3,1,1,0,0,1,-1,1,1,7,strong,0.027578928632659316,-1,14,3,-1.0,-1.0,1.0,0.0,0.0,3
2015-11-19,3,1,1,0,0,1,-1,1,1,7,strong,0.023049968244547858,-1,14,4,-1.0,-1.0,1.0,0.0,0.0,3
2015-11-20,3,1,1,0,0,1,-1,1,1,7,strong,0.026483554067097348,-1,14,5,-1.0,-1.0,1.0,0.0,0.0,3
2015-11-23,3,1,1,0,0,1,-1,1,1,8,unanimous,0.022731280407337517,-1,14,6,-1.0,-1.0,1.0,0.0,0.0,3
2015-11-24,3,1,1,0,0,1,-1,1,1,8,unanimous,0.021438659233549706,-1,14,7,-1.0,-1.0,1.0,0.0,0.0,3
2015-11-25,3,1,3,0,0,1,-1,1,-1,7,strong,0.019236443753204657,-1,14,8,-1.0,-1.0,1.0,0.0,0.0,2
2015-11-27,1,1,1,0,0,1,1,1,1,8,unanimous,0.02111857005141049,-1,14,9,-1.0,-1.0,1.0,0.0,0.0,4
2015-11-30,1,2,1,0,0,1,1,1,1,7,strong,0.022063791690854706,-1,14,10,-1.0,-1.0,1.0,0.0,0.0,4
2015-12-01,1,2,1,0,0,1,1,1,1,7,strong,0.023513382840406827,-1,14,11,-1.0,-1.0,1.0,0.0,0.0,4
2015-12-02,1,2,1,0,0,1,1,1,1,7,strong,0.013979287535457185,-1,14,12,-1.0,-1.0,1.0,0.0,0.0,4
2015-12-03,0,2,2,3,0,-1,1,1,1,3,mixed,0.007095563533291882,-1,14,1,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-04,3,2,2,0,0,1,-1,1,1,7,strong,0.01294009871068924,-1,14,1,-1.0,-1.0,1.0,0.0,0.0,3
2015-12-07,0,2,2,0,0,1,1,1,1,6,lean,0.006035955559889894,-1,14,2,-1.0,-1.0,1.0,0.0,0.0,4
2015-12-08,0,2,2,4,0,-1,1,1,1,3,mixed,0.00036337798482377615,-1,14,1,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-09,0,2,2,4,0,-1,1,1,1,3,mixed,0.008042186956990216,-1,14,2,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-10,0,2,0,4,0,-1,1,1,1,3,mixed,0.005623235051996245,-1,14,3,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-11,0,2,0,4,0,-1,1,1,1,1,strong,0.016696718629011675,-1,14,4,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-14,0,2,0,4,0,-1,1,1,1,1,strong,0.007024830320827569,-1,14,5,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-15,0,2,0,4,0,-1,1,1,1,3,mixed,0.004786071842154183,-1,14,6,-1.0,-1.0,1.0,0.0,1.0,1
2015-12-16,3,2,3,1,0,1,-1,1,-1,7,strong,0.01091623833584865,-1,14,1,-1.0,-1.0,1.0,0.0,0.0,2
2015-12-17,0,3,0,4,0,-1,1,-1,1,3,mixed,0.0037857585294052143,-1,14,1,-1.0,-1.0,1.0,0.0,1.0,2
2015-12-18,0,5,0,4,0,-1,1,-1,1,1,strong,0.028138524383460872,-1,14,2,-1.0,-1.0,1.0,0.0,1.0,2
2015-12-21,0,3,0,4,0,-1,1,-1,1,1,strong,0.02001928960442645,-1,14,3,-1.0,-1.0,1.0,0.0,1.0,2
2015-12-22,0,3,3,4,0,-1,1,-1,-1,2,lean,0.010104193513671422,-1,14,4,-1.0,-1.0,1.0,0.0,1.0,3
2015-12-23,0,3,3,1,0,1,1,-1,-1,6,lean,0.007328511760389733,-1,14,1,-1.0,-1.0,1.0,0.0,0.0,2
2015-12-24,0,3,3,1,0,1,1,-1,-1,5,mixed,0.004250389282399625,-1,14,2,-1.0,-1.0,1.0,0.0,0.0,2
